公司名稱,職缺名稱,徵才網址,薪水區間
瑞嘉軟體科技股份有限公司,【DBA】SQL Server DBA / 資料庫管理工程師,http://www.104.com.tw/job/6xt4l?jobsource=jolist_c_relevance,"月薪 55,000~142,000元"
全一電子股份有限公司,資料中心助理工程師,http://www.104.com.tw/job/6jwlt?jobsource=jolist_c_relevance,"月薪 24,000~26,000元"
瑞嘉軟體科技股份有限公司,【DBA】SQL Server Database Developer / 資料庫開發工程師,http://www.104.com.tw/job/49ko5?jobsource=jolist_c_relevance,"月薪 55,000~142,000元"
歐立威科技股份有限公司,資料平台工程師(或新鮮人),http://www.104.com.tw/job/4v0q8?jobsource=jolist_c_relevance,"月薪 28,000~40,000元"
風采有限公司,DBA,http://www.104.com.tw/job/70iwn?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
慧邦科技股份有限公司,遊戲數據工程師,http://www.104.com.tw/job/6u7bu?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
磐弈有限公司,Web 資深前端工程師,http://www.104.com.tw/job/6yhxx?jobsource=2018indexpoc,"月薪 40,000~80,000元"
美商先進資訊有限公司 Advanced Control Systems Inc.,專案工程師 (Project Engineer),http://www.104.com.tw/job/6c3ws?jobsource=2018indexpoc,"月薪 50,000~65,000元"
香港商福維克樂智有限公司台灣分公司,資訊系統分析師,http://www.104.com.tw/job/6u1ov?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
蓋亞汽車股份有限公司,DBA Engineer 資料庫管理工程師,http://www.104.com.tw/job/70sl0?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台灣樂天市場股份有限公司,【日商樂天】Data Engineer(DEV),http://www.104.com.tw/job/6yur3?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
中華麟股份有限公司,PHP工程師,http://www.104.com.tw/job/6fgd0?jobsource=2018indexpoc,"月薪 40,000~60,000元"
昱勝資訊股份有限公司,測試專員,http://www.104.com.tw/job/71nyz?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
艾絲資訊股份有限公司,艾絲資訊 PHP 系統開發工程師,http://www.104.com.tw/job/4ua1d?jobsource=2018indexpoc,"月薪 40,000~60,000元"
永豐商業銀行股份有限公司,數據應用部-數據分析應用人員,http://www.104.com.tw/job/6wnct?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台灣樂天市場股份有限公司,【日商樂天】Data Analyst(DEV),http://www.104.com.tw/job/6z1jb?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
萬蕙昇股份有限公司,程式設計工程師,http://www.104.com.tw/job/5m21k?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,軟體設計資深工程師(資料分析)_數位製造平台(桃三),http://www.104.com.tw/job/71rd7?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
盛達電業股份有限公司,雲端網聯軟體工程師 (新竹),http://www.104.com.tw/job/71m50?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
能鉅科技有限公司,機器視覺工程師,http://www.104.com.tw/job/6635n?jobsource=2018indexpoc,"月薪 35,000~50,000元"
博暉科技股份有限公司,資產管理系統開發人才C#(AM),http://www.104.com.tw/job/5hw6w?jobsource=2018indexpoc,"月薪 33,000~60,000元"
英屬維京群島商嘉碼科技有限公司台灣分公司,"賭場管理系統伺服器工程師(C,C++)(一)",http://www.104.com.tw/job/2ymy6?jobsource=2018indexpoc,"月薪 35,000~50,000元"
今展科技股份有限公司,ERP資訊工程師(鼎新TIPTOP系統),http://www.104.com.tw/job/6uvar?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
網際威信股份有限公司,AI應用軟體開發工程師,http://www.104.com.tw/job/711tp?jobsource=2018indexpoc,"月薪 35,000元以上"
台灣現觀股份有限公司,Big Data Engineer,http://www.104.com.tw/job/6qf7v?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
香港商俊思海外有限公司台灣分公司,Data Engineer (Lane Crawford Joyce Group),http://www.104.com.tw/job/70v0q?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台灣安麗莎醫療器材科技股份有限公司,雲端工程師,http://www.104.com.tw/job/6zhht?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
德利國際遊戲供應有限公司,歡迎加入我們行列-程式設計-無經驗可,http://www.104.com.tw/job/70s8r?jobsource=2018indexpoc,"月薪 30,000~35,000元"
鋐泰汽車零件股份有限公司,MIS專員/INTERNET程式設計專員,http://www.104.com.tw/job/67p92?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
瑞儀光電股份有限公司,14G009 AI人工智慧工程師,http://www.104.com.tw/job/6lp8d?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
競泰股份有限公司,SAP 系統工程師,http://www.104.com.tw/job/6zjb5?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
全球快遞_全球商務科技股份有限公司,科服處-程式設計師(SD人員),http://www.104.com.tw/job/6mbly?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
佳勝科技股份有限公司,資訊工程師,http://www.104.com.tw/job/6igy5?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
三竹資訊股份有限公司,資訊源研發工程師,http://www.104.com.tw/job/spu1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
新漢股份有限公司,(TMR- ) 資料分析(機器學習)開發工程師,http://www.104.com.tw/job/6ua9x?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
前進國際股份有限公司,資料倉儲工程師(竹南竹科三期/台南南科),http://www.104.com.tw/job/71f0u?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
緯創資通股份有限公司,資料庫軟體工程師 _ 汐止 _00000,http://www.104.com.tw/job/6zgll?jobsource=2018indexpoc,"月薪 30,000~60,000元"
國巨股份有限公司,(台北)資料庫系統資深工程師-擴大招募,http://www.104.com.tw/job/4qokl?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
德義資訊股份有限公司,Crystal reports及資料庫工程師,http://www.104.com.tw/job/3oua8?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
Phison Electronics Corp_群聯電子股份有限公司,機器學習演算法工程師/資料科學工程師/Machine Learning Engineer/Data Scientist,http://www.104.com.tw/job/5ov5m?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
歐立威科技股份有限公司,Hadoop 平台工程師(資料湖/大數據/巨量資料/HDP/CDH/串流處理),http://www.104.com.tw/job/6qjw8?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
歐博森科技有限公司,資深資料庫程式工程師(台北),http://www.104.com.tw/job/4r4gx?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
露天市集國際資訊股份有限公司,露天市集-資料庫工程師DBA,http://www.104.com.tw/job/6r22w?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
國泰世華商業銀行股份有限公司_人力資源部,"【數據生態營運】資料科學工程師 (數數發中心,DDT)",http://www.104.com.tw/job/6v7pz?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
敦陽科技股份有限公司,技術副理 (新竹)【SS1-NP】,http://www.104.com.tw/job/5uhsw?jobsource=2018indexpoc,"月薪 40,000~60,000元"
昇銳電子股份有限公司,【專案行銷部】資料庫管理高級工程師 (高雄),http://www.104.com.tw/job/70fpt?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
艾奕康工程顧問股份有限公司,資料庫與數據分析師 Data and Analytics Engineer(建築與人居環境部-台北),http://www.104.com.tw/job/6y5r2?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
保沃亞通工程顧問股份有限公司,WEB／資料庫程式設計工程師,http://www.104.com.tw/job/4i0cx?jobsource=2018indexpoc,"月薪 28,000~60,000元"
網際威信股份有限公司,AI大數據分析師/主管,http://www.104.com.tw/job/6nnhm?jobsource=2018indexpoc,"年薪 500,000~1,300,000元"
錠嵂保險經紀人股份有限公司,數據/資料分析工程師-台北 (系統推展部),http://www.104.com.tw/job/6l6mm?jobsource=2018indexpoc,"月薪 35,000~55,000元"
新加坡商必創科技股份有限公司,資料庫DBA工程師,http://www.104.com.tw/job/6pn0z?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
敦陽科技股份有限公司,【高薪】SAP HANA Basis 資料庫系統管理約聘駐點工程師 (新竹) (BXO),http://www.104.com.tw/job/6x8hf?jobsource=2018indexpoc,"月薪 65,000~70,000元"
樺晟電子股份有限公司,基金-資料庫軟體工程師,http://www.104.com.tw/job/6wnga?jobsource=2018indexpoc,"月薪 40,000元以上"
果思設計有限公司,後端資深工程師(.NET),http://www.104.com.tw/job/6yr7q?jobsource=2018indexpoc,"月薪 50,000~90,000元"
普鴻資訊股份有限公司,DW資料倉儲開發工程師-中和區(維運部),http://www.104.com.tw/job/6wqzh?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,人工智慧資料科學家/人工智慧應用工程師_台達研究院(台北),http://www.104.com.tw/job/6h22n?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
皮克網路有限公司,演算法資料／大數據 工程師！加入台中矽谷,http://www.104.com.tw/job/4nvhg?jobsource=2018indexpoc,"月薪 30,000~52,000元"
鴻禧旅行社有限公司,【鴻禧旅行社總公司】MIS工程師（程式設計、系統維護、資料庫管理）,http://www.104.com.tw/job/31dt6?jobsource=2018indexpoc,"月薪 40,000~50,000元"
鼎順數位科技有限公司,資料庫管理工程師 【需具經驗 / 薪資依能力面談調整】,http://www.104.com.tw/job/6yhrz?jobsource=2018indexpoc,"月薪 30,000~60,000元"
安富科技股份有限公司,[台北] AI Deep Learning / 人工智慧深度學習工程師 / 資料科學家,http://www.104.com.tw/job/59ye0?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
敦陽科技股份有限公司,【高薪】Oracle DB 資料庫系統管理約聘駐點工程師 (新竹) (BXO),http://www.104.com.tw/job/6x8h3?jobsource=2018indexpoc,"月薪 65,000~70,000元"
智信數位整合股份有限公司,程式開發工程師,http://www.104.com.tw/job/6itsg?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
莎美娜實業股份有限公司,(資深) 軟體工程師,http://www.104.com.tw/job/6m90i?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
宇清數位智慧股份有限公司,資深軟體系統架構師,http://www.104.com.tw/job/671hk?jobsource=2018indexpoc,"月薪 60,000~100,000元"
雲湧資訊股份有限公司,JAVA 工程師,http://www.104.com.tw/job/6l09c?jobsource=2018indexpoc,"月薪 60,000元以上"
逸空間有限公司,Technical Consultant Engineer / 技術顧問工程師(NG),http://www.104.com.tw/job/717bu?jobsource=2018indexpoc,"月薪 42,000~68,000元"
逸空間有限公司,Technical Consultant Engineer / 技術顧問工程師(XZ),http://www.104.com.tw/job/710is?jobsource=2018indexpoc,"月薪 42,000~68,000元"
昱冠資訊股份有限公司,大數據系統架構師,http://www.104.com.tw/job/6djds?jobsource=2018indexpoc,"月薪 26,000~82,000元"
路由共享管理顧問有限公司,資深後端開發工程師,http://www.104.com.tw/job/715ii?jobsource=2018indexpoc,"月薪 80,000元以上"
杰悉科技股份有限公司,後端工程師,http://www.104.com.tw/job/6cogg?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
科風股份有限公司,.NET/C# 程式工程師,http://www.104.com.tw/job/520v1?jobsource=2018indexpoc,"月薪 30,000~40,000元"
緯創資通股份有限公司,伺服器軟體系統工程師_內湖_00180,http://www.104.com.tw/job/6q5d4?jobsource=2018indexpoc,"月薪 30,000~60,000元"
連宜股份有限公司,資訊專員(上班地點:前鎮),http://www.104.com.tw/job/6w8t0?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
永豐金證券股份有限公司,商業分析人員(數據應用部),http://www.104.com.tw/job/6wuqx?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
萬蕙昇股份有限公司,程式設計工程師,http://www.104.com.tw/job/5m21k?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
億豪先鋒網路有限公司,網站後端工程師,http://www.104.com.tw/job/4mg8v?jobsource=2018indexpoc,"月薪 28,000~60,000元"
晟明科技股份有限公司,iOS / Android app 工程師,http://www.104.com.tw/job/70hig?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
艾新科環保材料有限公司,數據計量分析研究員,http://www.104.com.tw/job/6dhbo?jobsource=2018indexpoc,"月薪 36,000元以上"
玉山銀行_玉山商業銀行股份有限公司,(數金處)機器學習工程師,http://www.104.com.tw/job/6dtcl?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
"美商 Canner, Inc_易開科技股份有限公司",資深後端工程師,http://www.104.com.tw/job/6kph1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
昱臺國際股份有限公司,Web 程式設計師,http://www.104.com.tw/job/6y2fk?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
順開科技股份有限公司,IT 軟體工程師,http://www.104.com.tw/job/70tw7?jobsource=2018indexpoc,"月薪 35,000~38,000元"
博識資訊顧問有限公司,系統分析師,http://www.104.com.tw/job/6xrfn?jobsource=2018indexpoc,"月薪 40,000元以上"
錩鋼精密科技股份有限公司,資訊助理/工程師(新北-新莊總廠),http://www.104.com.tw/job/6ox5f?jobsource=2018indexpoc,"月薪 25,000~45,000元"
萬銘工程科技股份有限公司,和美監造主任,http://www.104.com.tw/job/71j74?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
永輝協同網路服務股份有限公司,Mobile Web-初階-前端開發工程師,http://www.104.com.tw/job/71gbg?jobsource=2018indexpoc,"月薪 36,000元以上"
永輝協同網路服務股份有限公司,Mobile Web-全端開發工程師,http://www.104.com.tw/job/6zxb3?jobsource=2018indexpoc,"月薪 48,000元以上"
勁傑系統科技股份有限公司,資訊工程師,http://www.104.com.tw/job/5gxb8?jobsource=2018indexpoc,"月薪 28,000~45,000元"
芸享科技有限公司,軟體工程師,http://www.104.com.tw/job/6z3sz?jobsource=2018indexpoc,"月薪 35,000~70,000元"
錼創顯示科技股份有限公司,數據分析工程師（竹南科學園區）,http://www.104.com.tw/job/6japp?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
慶奇科技股份有限公司,後端工程師 Back-end Developer,http://www.104.com.tw/job/70f1b?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
宇泰華科技股份有限公司,Backend Development 後端工程師,http://www.104.com.tw/job/5bdsg?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
藍科數位科技股份有限公司,軟體維運工程師,http://www.104.com.tw/job/4jl7r?jobsource=2018indexpoc,"月薪 35,000~55,000元"
緯創軟體股份有限公司,【 2020軟體技術人才招募】大數據工程師,http://www.104.com.tw/job/69zh1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
鴻品營造股份有限公司,建築工程師,http://www.104.com.tw/job/3tl8v?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
芙奕達科技有限公司,Unix/Linux 在家值班 維護工程師(全省),http://www.104.com.tw/job/70em1?jobsource=jolist_c_relevance,"月薪 40,000~55,000元"
北宜欣工程股份有限公司,機電品管工程師,http://www.104.com.tw/job/6x815?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
香港商米波國際有限公司台灣分公司,"後端軟體工程師 / Software Engineer - Backend (年薪700,000起~)",http://www.104.com.tw/job/4vmc9?jobsource=jolist_c_relevance,"年薪 700,000~1,000,000元"
蓋特資訊系統股份有限公司,Senior Machine Learning Engineer,http://www.104.com.tw/job/6e6r8?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
群廣資訊股份有限公司,Php 程式設計師,http://www.104.com.tw/job/6193a?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
展藝建設股份有限公司,營建工程師,http://www.104.com.tw/job/70ync?jobsource=jolist_c_relevance,"月薪 30,000~65,000元"
康威資訊有限公司,資料庫管理工程師,http://www.104.com.tw/job/6i2br?jobsource=jolist_c_relevance,"月薪 50,000~70,000元"
御翔土木包工有限公司,現場工地負責人員,http://www.104.com.tw/job/4tw25?jobsource=jolist_c_relevance,"月薪 35,000~55,000元"
阿物股份有限公司,"Site Reliability Engineering Manager, SRE 經理 (台北)",http://www.104.com.tw/job/709pc?jobsource=jolist_c_relevance,"月薪 75,000元以上"
玉山銀行_玉山商業銀行股份有限公司,(智能金融處)機器學習平台工程師,http://www.104.com.tw/job/6rp6s?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
通嘉科技股份有限公司,[新竹]產品(資深)工程師,http://www.104.com.tw/job/6negj?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
灼見科技股份有限公司,程式設計師,http://www.104.com.tw/job/71d38?jobsource=jolist_c_relevance,"月薪 30,000元以上"
天主教若瑟醫療財團法人若瑟醫院,資訊工程師,http://www.104.com.tw/job/5ajdi?jobsource=jolist_c_relevance,"年薪 366,000元以上"
微電能源股份有限公司,通訊系統軟體工程師（竹北）,http://www.104.com.tw/job/6v8c3?jobsource=jolist_c_relevance,"月薪 35,000元以上"
宏雄工程股份有限公司,電機繪圖人員,http://www.104.com.tw/job/71n4j?jobsource=jolist_c_relevance,"月薪 35,000~50,000元"
嘉磐建設事業股份有限公司,工務主管-採發成控(台中),http://www.104.com.tw/job/6xkyk?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
玉山銀行_玉山商業銀行股份有限公司,(智能金融處)機器學習平台(精英)工程師,http://www.104.com.tw/job/6rp6t?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
威雲科技股份有限公司,業務支援工程師,http://www.104.com.tw/job/6pvuh?jobsource=jolist_c_relevance,"月薪 40,000~60,000元"
阿物股份有限公司,"Site Reliability Engineering, SRE 工程師 (台北)",http://www.104.com.tw/job/6lw1u?jobsource=jolist_c_relevance,"月薪 40,000~65,000元"
台唐營造股份有限公司,工程品管人員,http://www.104.com.tw/job/6vkzd?jobsource=jolist_c_relevance,"月薪 40,000~55,000元"
翊騰有限公司,營造工程師/土木工程師/內業工程師,http://www.104.com.tw/job/6z1y1?jobsource=jolist_c_relevance,"月薪 35,000~55,000元"
百分百寵物生活館_百分百寵物企業社,軟體設計工程師,http://www.104.com.tw/job/6puf1?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
勁成有限公司,機電品管工程師-台北市士林區,http://www.104.com.tw/job/6ke4n?jobsource=jolist_c_relevance,"月薪 40,000~55,000元"
康翔科技股份有限公司,人壽業SA/SD(懂4GL程式）,http://www.104.com.tw/job/6iebz?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
勁成有限公司,機電品管工程師-台北市文山區,http://www.104.com.tw/job/34978?jobsource=jolist_c_relevance,"月薪 40,000~55,000元"
龍進自動機械股份有限公司,資訊工程師,http://www.104.com.tw/job/6nq3x?jobsource=jolist_c_relevance,"月薪 38,000~44,000元"
高信工程股份有限公司,工務助理(台中),http://www.104.com.tw/job/5o7jx?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,Software Engineer(ASP.NET/C#/JSP/Java),http://www.104.com.tw/job/6j74i?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
正揚工程股份有限公司,工程監造人員(高雄市南星計畫區),http://www.104.com.tw/job/6ubhz?jobsource=2018indexpoc,"月薪 35,000元以上"
三維人股份有限公司,車聯網平台 - 後端工程師 Backend Engineer,http://www.104.com.tw/job/717c8?jobsource=2018indexpoc,"年薪 490,000~770,000元"
錦順營造股份有限公司,工地主任,http://www.104.com.tw/job/6y5az?jobsource=2018indexpoc,"月薪 50,000~60,000元"
寶碩財務科技股份有限公司,交易系統程式設計師(投資部),http://www.104.com.tw/job/6o76u?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
政東水電工程有限公司,電機工程助理,http://www.104.com.tw/job/64pgv?jobsource=2018indexpoc,"月薪 28,800~45,000元"
納新實業股份有限公司,工程工務工程師,http://www.104.com.tw/job/5u7se?jobsource=2018indexpoc,"月薪 30,000~45,000元"
杰倫智能科技股份有限公司,資深網頁前端開發工程師(製造業 AI 雲端解決方案),http://www.104.com.tw/job/6hxnt?jobsource=2018indexpoc,"月薪 60,000~70,000元"
中柱工程股份有限公司,土木工程師,http://www.104.com.tw/job/39isw?jobsource=2018indexpoc,"月薪 30,000~45,000元"
漢宇開發建設股份有限公司,採發助理,http://www.104.com.tw/job/71jwa?jobsource=2018indexpoc,"月薪 28,000~36,000元"
旭天能源股份有限公司,智能維運系統程式設計工程師/資深工程師/副理,http://www.104.com.tw/job/6ediw?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
二合一網路行銷股份有限公司,Java程式設計師,http://www.104.com.tw/job/3f7p4?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
中柱工程股份有限公司,儀電工程師,http://www.104.com.tw/job/24ao6?jobsource=2018indexpoc,"月薪 30,000~45,000元"
陶林數值測量工程有限公司,軟體設計工程師,http://www.104.com.tw/job/3c1er?jobsource=2018indexpoc,"月薪 36,000~50,000元"
三民輔考集團_台北市私立三民商業短期補習班,【高雄區】ASP.Net 軟體工程師(C# ),http://www.104.com.tw/job/6u0qp?jobsource=2018indexpoc,"月薪 45,000~60,000元"
天鏡科技股份有限公司,資深 Golang 系統工程師,http://www.104.com.tw/job/6uwc2?jobsource=2018indexpoc,"年薪 1,000,000~1,600,000元"
支點雲端科技股份有限公司,【高雄區】ASP.Net 軟體工程師(C# ),http://www.104.com.tw/job/6ogwz?jobsource=2018indexpoc,"月薪 45,000~60,000元"
鼎大環能科技有限公司,繪圖工程師,http://www.104.com.tw/job/507h9?jobsource=2018indexpoc,"月薪 35,000~40,000元"
艾思維特股份有限公司,後端工程師,http://www.104.com.tw/job/6k95u?jobsource=2018indexpoc,"月薪 37,000~45,000元"
泰聯企業有限公司,(中區)商務/開發專案人員 ,http://www.104.com.tw/job/6ajmh?jobsource=2018indexpoc,"月薪 30,000~35,000元"
中柱工程股份有限公司,機械工程師,http://www.104.com.tw/job/2mp2j?jobsource=2018indexpoc,"月薪 30,000~45,000元"
鍵盛工程有限公司,機電工地主任(基隆),http://www.104.com.tw/job/6vk7j?jobsource=2018indexpoc,"月薪 50,000~70,000元"
德元營造股份有限公司,工務副理,http://www.104.com.tw/job/71f8h?jobsource=2018indexpoc,"月薪 36,000~46,000元"
